(-74.986085, 40.1061431),   
(-75.006200, 40.0461951),	
(-75.008032, 40.0676113),	
(-75.072755, 40.0468228),	
(-75.078894, 40.0105794),
(-75.123884, 39.9883785),
(-75.139713, 39.9687595),
(-75.164383, 39.9165789),
(-75.197295, 39.9442375),
(-75.229180, 39.9212418),
(-75.141333, 39.99617739),
(-75.142385, 39.98210199),
(-75.143655, 39.99335361),
(-75.161345, 39.96269323),
(-75.163249, 39.95819518),
(-75.165101, 39.94511029),
(-75.173016, 39.95890684),
(-75.176024, 39.93294887),
(-75.181626, 39.94402255),
(-75.182268, 39.95159357),
(-75.184115, 39.92624431),
(-75.184348, 39.95495856),
(-75.201109, 39.95549513),
(-75.201390, 39.97610527),
(-75.201585, 39.99062384),